[2026-02-25 06:16:49] API: GET / Status: 404
[2026-02-25 06:16:52] API: GET / Status: 404
[2026-02-25 06:17:04] API: POST /api/Auth/login Status: 200
[2026-02-25 06:17:11] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 06:17:11] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 06:17:11] API: GET /api/Get/GetEmployeeAndMachineStats Status: 200
[2026-02-25 06:17:11] API: POST /api/Post/GetTransactionOverview Status: 200
[2026-02-25 06:17:11] API: POST /api/Post/GetTransactionData Status: 200
[2026-02-25 06:18:02] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 06:18:02] API: GET /api/Get/GetUnpostedTransactions?page=0&size=100000&search=&emp_num=EE00025 Status: 200
[2026-02-25 06:18:07] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 06:18:08] API: GET /api/Get/GetActiveJobTransactions Status: 200
[2026-02-25 06:18:12] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 06:18:12] API: GET /api/Get/getAllMachines Status: 200
[2026-02-25 06:18:12] API: GET /api/Get/getAllEmployees Status: 200
[2026-02-25 06:18:12] API: GET /api/Get/GetPostedTransactions?page=0&size=5000&search= Status: 200
[2026-02-25 06:18:45] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 06:18:45] API: GET /api/Get/getAllMachines Status: 200
[2026-02-25 06:18:45] API: GET /api/Get/getAllEmployees Status: 200
[2026-02-25 06:18:48] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 06:18:48] API: GET /api/Get/GetUnpostedTransactions?page=0&size=100000&search=&emp_num=EE00025 Status: 200
[2026-02-25 06:18:53] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 06:18:53] API: GET /api/Get/GetActiveJobTransactions Status: 200
[2026-02-25 06:19:02] API: GET /api/Get/getAllEmployees Status: 200
[2026-02-25 06:19:02] API: GET /api/Get/getAllMachines Status: 200
[2026-02-25 06:19:02] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 06:18:45] API: GET /api/Get/GetPostedTransactions?page=0&size=5000&search= Status: 200
[2026-02-25 06:19:19] API: GET /api/Get/GetPostedTransactions?page=0&size=5000&search= Status: 200
[2026-02-25 06:21:47] API: GET /api/Get/getAllMachines Status: 200
[2026-02-25 06:21:47] API: GET /api/Get/getAllEmployees Status: 200
[2026-02-25 06:21:47] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 06:22:01] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 06:22:01] API: GET /api/Get/GetUnpostedTransactions?page=0&size=100000&search=&emp_num=EE00025 Status: 200
[2026-02-25 06:22:07] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 06:22:07] API: GET /api/Get/GetActiveJobTransactions Status: 200
[2026-02-25 06:22:18] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 06:22:18] API: GET /api/Get/GetUnpostedTransactions?page=0&size=100000&search=&emp_num=EE00025 Status: 200
[2026-02-25 06:22:21] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 06:22:21] API: GET /api/Get/GetActiveJobTransactions Status: 200
[2026-02-25 06:21:47] API: GET /api/Get/GetPostedTransactions?page=0&size=5000&search= Status: 200
[2026-02-25 06:22:26] API: GET /api/Get/getAllEmployees Status: 200
[2026-02-25 06:22:26] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 06:22:26] API: GET /api/Get/getAllMachines Status: 200
[2026-02-25 06:22:26] API: GET /api/Get/GetPostedTransactions?page=0&size=5000&search= Status: 200
[2026-02-25 06:25:04] API: DELETE /api/delete/DeleteJobTransaction/MJ00002083/MJ00002083-1/30 Status: 200
[2026-02-25 06:25:11] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 06:25:11] API: GET /api/Get/GetUnpostedTransactions?page=0&size=100000&search=&emp_num=EE00025 Status: 200
[2026-02-25 06:25:15] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 06:25:15] API: GET /api/Get/GetActiveJobTransactions Status: 200
